incident_id,incident_description,root_cause,corrective_action_type,preventive_action_type,severity_level
INC-2019-0001,Relative humidity in manufacturing suite Suite A rose to 64.0% exceeding limit for 5.4 hours during batch A5506A processing.,Environmental Control Failure,Root cause investigation and CAPA report,Increase monitoring frequency,High
INC-2019-0002,Change control CC-6925 closed without completing all required verification actions. Validation report not attached before closure. Non-compliance found at audit.,Documentation Error,Document revision and re-issuance,Revise SOP with enhanced controls,Medium
INC-2019-0003,Operator OP-8573 set drying temperature to 76.1 degrees C instead of specified 35.5 degrees C for batch A3803C. Deviation noted after 11.0 hours of processing.,Human Error,Root cause investigation and CAPA report,Deploy continuous training programme,High
INC-2019-0004,pH meter FP-864 gave inconsistent readings during in-process checks on batch B5040C. Calibration check failed with 0.19 pH unit drift from standard.,Equipment Failure,Deep cleaning and sanitisation,Implement preventive maintenance schedule,Medium
INC-2019-0005,Balance CP-991 failed calibration check before dispensing operations for batch C9201A. Drift of 0.11 g recorded against tolerance of 0.01 g.,Equipment Failure,Process parameter adjustment,Increase monitoring frequency,Low
INC-2019-0006,Operator OP-6107 added 18.8% excess of Colloidal Silicon Dioxide to batch E7932A during dispensing. Error not detected until in-process check. Batch placed on hold for investigation.,Human Error,Operator retraining,Enhance supplier qualification process,Low
INC-2019-0007,Granule moisture content for batch E8744A measured at 1.7% exceeding validated limit. Additional drying required before compression could proceed.,Process Deviation,Root cause investigation and CAPA report,Add in-process checks at critical steps,High
INC-2019-0008,Autoclave FP-902 failed to reach sterilisation temperature of 121 degrees C during cycle for batch D1035B. Maximum recorded temperature was 13.3 degrees C. Load quarantined pending investigation.,Equipment Failure,Process parameter adjustment,Add in-process checks at critical steps,Medium
INC-2019-0009,Wrong batch number C8491B entered into batch record for batch E1651C. Documentation error discovered during QA review prior to batch release.,Human Error,Document revision and re-issuance,Enhance supplier qualification process,Medium
INC-2019-0010,Environmental monitoring log for cleanroom Room E205 not completed for 19 days. Missing entries overlap with batch C5669A manufacture period.,Documentation Error,System configuration correction,Deploy continuous training programme,Medium
INC-2019-0011,Batch record for batch E9004B missing authorised signature at step 15 covering labelling. Deviation raised during QA batch record review.,Documentation Error,System configuration correction,Introduce dual-person verification,Low
INC-2019-0012,Audit trail in QMS software LIMS Nexus failed to record change made to batch A6862A record. 21 CFR Part 11 compliance gap identified during internal audit.,Software / System Failure,Root cause investigation and CAPA report,Upgrade software with validation,Medium
INC-2019-0013,Equipment logbook for CP-491 shows no record of cleaning prior to batch C3608C. Previous product residue risk not assessed before manufacture commenced.,Documentation Error,Root cause investigation and CAPA report,Deploy continuous training programme,Low
INC-2019-0014,LIMS system ChemStation generated incorrect assay calculation for batch A5279A. Formula error found in calculation module. All results require manual verification.,Software / System Failure,System configuration correction,Add in-process checks at critical steps,Medium
