incident_id,incident_description,root_cause,corrective_action_type,preventive_action_type,severity_level,cleaned_incident
INC-2019-0001,Relative humidity in manufacturing suite Suite A rose to 64.0% exceeding limit for 5.4 hours during batch A5506A processing.,Environmental Control Failure,Root cause investigation and CAPA report,Increase monitoring frequency,High,relative humidity in manufacturing suite suite a rose to 64 0 exceeding limit for 5 4 hours during batch a5506a processing
INC-2019-0002,Change control CC-6925 closed without completing all required verification actions. Validation report not attached before closure. Non-compliance found at audit.,Documentation Error,Document revision and re-issuance,Revise SOP with enhanced controls,Medium,change control cc 6925 closed without completing all required verification actions validation report not attached before closure non compliance found at audit
INC-2019-0003,Operator OP-8573 set drying temperature to 76.1 degrees C instead of specified 35.5 degrees C for batch A3803C. Deviation noted after 11.0 hours of processing.,Human Error,Root cause investigation and CAPA report,Deploy continuous training programme,High,operator op 8573 set drying temperatureerature to 76 1 degrees c instead of specified 35 5 degrees c for batch a3803c deviation noted after 11 0 hours of processing
INC-2019-0004,pH meter FP-864 gave inconsistent readings during in-process checks on batch B5040C. Calibration check failed with 0.19 pH unit drift from standard.,Equipment Failure,Deep cleaning and sanitisation,Implement preventive maintenance schedule,Medium,ph meter fp 864 gave inconsistent readings during in process checks on batch b5040c calibration check failed with 0 19 ph unit drift from standard
INC-2019-0005,Balance CP-991 failed calibration check before dispensing operations for batch C9201A. Drift of 0.11 g recorded against tolerance of 0.01 g.,Equipment Failure,Process parameter adjustment,Increase monitoring frequency,Low,balance cp 991 failed calibration check before dispensing operations for batch c9201a drift of 0 11 g recorded against tolerance of 0 01 g
INC-2019-0006,Operator OP-6107 added 18.8% excess of Colloidal Silicon Dioxide to batch E7932A during dispensing. Error not detected until in-process check. Batch placed on hold for investigation.,Human Error,Operator retraining,Enhance supplier qualification process,Low,operator op 6107 added 18 8 excess of colloidal silicon dioxide to batch e7932a during dispensing error not detected until in process check batch placed on hold for investigation
INC-2019-0007,Granule moisture content for batch E8744A measured at 1.7% exceeding validated limit. Additional drying required before compression could proceed.,Process Deviation,Root cause investigation and CAPA report,Add in-process checks at critical steps,High,granule moisture content for batch e8744a measured at 1 7 exceeding validated limit additional drying required before compression could proceed
INC-2019-0008,Autoclave FP-902 failed to reach sterilisation temperature of 121 degrees C during cycle for batch D1035B. Maximum recorded temperature was 13.3 degrees C. Load quarantined pending investigation.,Equipment Failure,Process parameter adjustment,Add in-process checks at critical steps,Medium,autoclave fp 902 failed to reach sterilisation temperatureerature of 121 degrees c during cycle for batch d1035b maximum recorded temperatureerature was 13 3 degrees c load quarantined pending investigation
INC-2019-0009,Wrong batch number C8491B entered into batch record for batch E1651C. Documentation error discovered during QA review prior to batch release.,Human Error,Document revision and re-issuance,Enhance supplier qualification process,Medium,wrong batch number c8491b entered into batch record for batch e1651c documentation error discovered during qa review prior to batch release
INC-2019-0010,Environmental monitoring log for cleanroom Room E205 not completed for 19 days. Missing entries overlap with batch C5669A manufacture period.,Documentation Error,System configuration correction,Deploy continuous training programme,Medium,environmental monitoring log for cleanroom room e205 not completed for 19 days missing entries overlap with batch c5669a manufacture period
INC-2019-0011,Batch record for batch E9004B missing authorised signature at step 15 covering labelling. Deviation raised during QA batch record review.,Documentation Error,System configuration correction,Introduce dual-person verification,Low,batch record for batch e9004b missing authorised signature at step 15 covering labelling deviation raised during qa batch record review
INC-2019-0012,Audit trail in QMS software LIMS Nexus failed to record change made to batch A6862A record. 21 CFR Part 11 compliance gap identified during internal audit.,Software / System Failure,Root cause investigation and CAPA report,Upgrade software with validation,Medium,audit trail in qms software lims nexus failed to record change made to batch a6862a record 21 cfr part 11 compliance gap identified during internal audit
INC-2019-0013,Equipment logbook for CP-491 shows no record of cleaning prior to batch C3608C. Previous product residue risk not assessed before manufacture commenced.,Documentation Error,Root cause investigation and CAPA report,Deploy continuous training programme,Low,equipment logbook for cp 491 shows no record of cleaning prior to batch c3608c previous product residue risk not assessed before manufacture commenced
INC-2019-0014,LIMS system ChemStation generated incorrect assay calculation for batch A5279A. Formula error found in calculation module. All results require manual verification.,Software / System Failure,System configuration correction,Add in-process checks at critical steps,Medium,lims system chemstation generated incorrect assay calculation for batch a5279a formula error found in calculation module all results require manual verification
