capa_id,open_date,close_date,days_to_close,product,department,severity,root_cause,regulatory_reference,incident_summary,root_cause_detail,corrective_action,preventive_action,effectiveness_check,effectiveness_rating,recurrence,investigator_name,investigator_role,approver_name,approver_role,ca_completion_date,pa_completion_date,ec_completion_date
CAPA-2022-0001,2022-09-15,2023-01-12,119,Amoxicillin 500mg Capsules,Packaging,High,Environmental Control Failure,21 CFR Part 211.130,Temperature excursion in cold room CR-06 — reached 12.2°C for 2.6 hours. Limit 2–8°C. Batch A9935A and 6 other product batches potentially affected.,"Refrigeration compressor failed overnight. Night shift operator did not respond to alarm within required 15 minutes — response was {round(random.uniform(45,120),0)} minutes after initial alarm.",Compressor replaced. All affected batches quarantined and thermal stability assessments initiated per product stability data. Engineering root cause investigation completed.,24/7 alarm escalation: unacknowledged alarm after 10 minutes auto-escalates to on-call engineer via SMS. Backup refrigeration unit installed in critical cold rooms. Alarm response training refreshed for all shifts.,Zero temperature excursions exceeding 30 minutes for 12 months. 100% alarm response within 15 minutes on monthly alarm log review.,Effective,No,J. Patel,QA Manager,Dr. L. Fernandez,QP / Responsible Person,2022-09-27,2022-10-30,2023-01-05
CAPA-2020-0002,2020-12-19,2021-04-21,123,Morphine Sulfate 10mg/mL Injection,QC Laboratory,Medium,Documentation Error,USP <1058>,Batch record for batch B7924B missing authorised signature at critical step 9 — compression start. Identified during QA batch record review before release.,"Operator completed the step but was called away urgently before signing. Paper batch record was not locked — a different operator moved it, and the unsigned step was missed during QA review.",Batch record corrected with retrospective signature and deviation report. Investigation confirmed step was performed correctly. Batch released after QA Director review.,EBR system deployed for this product — paper batch records eliminated. EBR locks step until operator signs electronically in real time. Step cannot be bypassed.,Zero missing signatures in EBR for 12 months. 100% step sign-off compliance on monthly EBR audit.,Effective,No,R. Sharma,Engineering Lead,Dr. A. Gupta,Site Director,2021-01-18,2021-01-25,2021-04-11
CAPA-2019-0003,2019-02-18,2019-06-09,111,Warfarin 5mg Tablets,QC Laboratory,High,Process Deviation,21 CFR Part 211.192,Tablet hardness for batch A5803C failed specification — 69.0% of tablets below minimum 8.6 kP during IPC at 75% compression.,"Compression force drifted below validated minimum — tablet press {equip()} main compression roll bearing showing early wear, causing force variation between strokes.",Compression halted. Bearing replaced. Batch 100% checked by automated hardness tester. Sub-specification tablets rejected. Remaining batch released after QA review.,Compression force monitoring added to real-time SCADA display with alert at ±5% from setpoint. Main compression roll bearing added to 6-monthly PM schedule.,Zero hardness OOS events on this press for 12 months. Bearing inspection records reviewed quarterly.,Partially Effective,No,P. Singh,Production Manager,Dr. S. Mehta,QA Director,2019-03-07,2019-03-29,2019-05-27
CAPA-2018-0004,2018-08-18,2018-12-05,109,Heparin Sodium 5000IU/mL,Warehouse,Medium,Documentation Error,EU GMP Chapter 3,Superseded SOP SOP-048 v3.3 used during batch C2169C manufacture. Current approved version is v6.8. Paper copy not removed from area when new version issued.,Document control procedure requires area managers to retrieve superseded SOPs on version change. Area manager on leave — retrieval task not delegated. Superseded copy remained accessible for {days()} days.,"Superseded SOP retrieved and destroyed. Batch risk-assessed — difference between versions was minor editorial change, no process impact. Batch released.",SOP issuance via document management system only — DMS locks access to superseded version at effective date. Area managers receive system alert to confirm receipt of new version before effective date.,Zero superseded SOP events for 12 months. Monthly DMS audit confirms all current SOPs accessed only from DMS.,Effective,No,A. Kumar,QC Manager,Dr. L. Fernandez,QP / Responsible Person,2018-08-30,2018-10-26,2018-11-27
CAPA-2022-0005,2022-06-24,2022-09-16,84,Paracetamol 500mg Tablets,Packaging,High,Process Deviation,EU GMP Chapter 5,Dissolution failure at 30 minute timepoint for batch C4483C — 60.0% dissolved against NLT 85%. Three consecutive batches failed same timepoint.,Disintegrant particle size from new supplier lot was outside historical range. Smaller particle size reduced disintegrant performance. Incoming test for particle size was not performed on this excipient.,Three batches rejected. Emergency particle size testing of all remaining disintegrant stock. Alternative approved supplier lot sourced. Reformulation study initiated.,Particle size testing added to incoming QC specification for disintegrant. Supplier change notification procedure tightened — any new supplier lot requires comparative dissolution testing before use.,Zero dissolution failures for 12 months. 100% incoming particle size compliance for disintegrant on monthly QC report.,Effective,No,P. Singh,Production Manager,Dr. L. Fernandez,QP / Responsible Person,2022-07-10,2022-07-29,2022-09-05
CAPA-2019-0006,2019-04-15,2019-09-12,150,Atorvastatin 20mg Tablets,Packaging,Medium,Process Deviation,21 CFR Part 211.130,Blend uniformity failure for batch A3504C — RSD 4.8% against limit 3%. Blending time 16.8 minutes against validated 27 minutes due to blender availability issue.,Production scheduling allocated insufficient blend time due to equipment conflict with another batch. Validation parameter deviation not escalated to QA before manufacture.,Batch rejected. Blend uniformity testing completed on retained samples to confirm extent of failure. Blender scheduling reviewed and corrected for all upcoming batches.,Critical process parameters (including blend time) flagged in EBR — system alerts QA if scheduled time deviates from validated range before batch release to manufacture.,Zero blend uniformity OOS events for 12 months. 100% validated blend time compliance on monthly process review.,Effective,No,P. Singh,Production Manager,Dr. L. Fernandez,QP / Responsible Person,2019-05-11,2019-06-19,2019-09-05
CAPA-2023-0007,2023-09-11,2024-02-03,145,Salbutamol Inhaler 100mcg,QC Laboratory,High,Material / Supplier Defect,21 CFR Part 211.192,Foreign particulate contamination found in packaging material lot LOT-24621 — metal fragments found in 12.3% of units during incoming inspection. Fragments identified as stainless steel filings.,Supplier equipment maintenance performed during production run — metal swarf from drilling operation entered open packaging material containers before cleaning completed.,Lot rejected. 100% metal detector inspection of all packaging materials from this supplier in stock. Clear — no other lots affected. Supplier placed on probationary status.,Metal detector check added to all incoming packaging material inspection — no materials accepted without metal detection certificate from supplier. Annual unannounced supplier audit initiated.,Zero particulate contamination events from packaging materials for 24 months. Annual supplier audit report confirms maintenance controls adequate.,Partially Effective,No,P. Singh,Production Manager,Dr. L. Fernandez,QP / Responsible Person,2023-09-19,2023-11-18,2024-01-27
CAPA-2023-0008,2023-06-25,2023-10-17,114,Paracetamol 500mg Tablets,Stability,Low,Documentation Error,ICH Q1A(R2),Deviation report for batch B3504B closed without verification that all assigned corrective actions were completed. Two actions out of five remained open at time of closure.,QA reviewer closed deviation based on progress report from action owners without independently verifying completion. Closure criteria checklist not mandatory in previous QMS version.,Deviation reopened. Remaining two actions completed and independently verified by QA. Deviation re-closed with full evidence package attached.,QMS updated — deviation cannot be closed unless all linked corrective actions show 'Verified Complete' status in system. Verification requires QA sign-off separate from action owner sign-off.,Zero premature deviation closures for 12 months on monthly QA deviation audit.,Partially Effective,No,J. Patel,QA Manager,Dr. L. Fernandez,QP / Responsible Person,2023-06-30,2023-07-12,2023-10-09
CAPA-2023-0009,2023-05-01,2023-08-03,94,Warfarin 5mg Tablets,Sterile Fill,Medium,Documentation Error,ISO 13408,Stability sample for batch B1949A not collected at 18-month timepoint. Missing collection discovered 15 days after due date during stability manager review.,Stability schedule transferred manually to QC calendar on product changeover. Transfer error omitted this specific batch. No automated reminder system in place.,Accelerated stability assessment performed on retained samples. Bracketing and matrixing approach justified the missing timepoint per ICH Q1D. Regulatory authority notified per reporting requirements.,Stability schedules auto-generated and uploaded to LIMS on batch release. QC analyst receives LIMS reminder 7 and 3 days before each pull date. Missed timepoints auto-escalate to QA within 24 hours of due date.,Zero missed stability timepoints for 24 months. Monthly LIMS stability compliance report reviewed at QA management meeting.,Effective,No,S. Mehta,QA Director,Dr. S. Mehta,QA Director,2023-05-23,2023-06-07,2023-07-23
CAPA-2018-0010,2018-09-20,2018-12-28,99,Ciprofloxacin 250mg Tablets,Warehouse,Medium,Documentation Error,21 CFR Part 211.142,Calibration certificate for FP-652 expired 30 days before equipment use during batch C7537C manufacture. Identified by QA during batch record review.,Calibration due dates maintained in manual spreadsheet — spreadsheet not updated when calibration was rescheduled by 3 weeks. No automated alert system.,Equipment taken out of service and calibrated. All results generated with equipment during out-of-calibration period reviewed. Batch data confirmed valid — no impact identified.,All equipment calibration due dates entered in LIMS with automated alert 30 and 14 days before due date. EBR prevents equipment use if calibration status is overdue.,100% on-time equipment calibration for 12 months on LIMS compliance report.,Effective,No,R. Sharma,Engineering Lead,Dr. S. Mehta,QA Director,2018-10-05,2018-10-11,2018-12-17
CAPA-2023-0011,2023-04-21,2023-09-04,136,Dexamethasone 4mg/mL Injection,Sterile Fill,High,Human Error,21 CFR Part 211.113,Incorrect cleaning agent (IPA 60%) applied to equipment AC-824 by operator OP-1964 after batch B2104A manufacture. Approved agent is Peracetic Acid 0.2%.,Cleaning agents stored side-by-side in unlabelled containers on cleaning trolley. Operator selected wrong bottle. Cleaning agent inventory not controlled at point of use.,Equipment re-cleaned with correct approved agent. Residue swab tested — passed before next manufacturing use. Incorrect agent containers removed from area immediately.,Cleaning agents dispensed from locked cabinet — key released only after correct agent confirmed on cleaning record. Containers colour-coded per equipment type. Cleaning SOP updated with photo guide.,Zero incorrect cleaning agent events for 12 months. Monthly cleaning audit: 100% correct agent usage verified.,Partially Effective,No,A. Kumar,QC Manager,Dr. L. Fernandez,QP / Responsible Person,2023-05-03,2023-06-27,2023-08-26
CAPA-2021-0012,2021-10-21,2022-03-02,132,Lisinopril 10mg Tablets,Sterile Fill,Medium,Human Error,ISO 13408,Incorrect expiry date printed on 5898 units of product for batch D6804B by operator OP-7735. Error discovered during packing QA line check. Correct date: 2026-12.,Operator manually entered expiry date into label printing system. Transposition error made (month and year swapped). No automated cross-check with batch record.,All mislabelled units isolated and relabelled under dual QA supervision. 100% barcode verification performed on relabelled units. Distribution check confirmed no units released.,Expiry date auto-populated from batch record in printing system — manual entry disabled. Barcode scan of printed label vs batch record mandatory before label application begins.,Zero labelling errors for 12 months. Monthly label audit: 100% of batches verified for correct expiry date.,Effective,No,J. Patel,QA Manager,Dr. A. Gupta,Site Director,2021-11-20,2022-01-19,2022-02-24
CAPA-2019-0013,2019-01-18,2019-06-05,138,Heparin Sodium 5000IU/mL,Packaging,Low,Human Error,21 CFR Part 211.130,QA analyst OP-3296 approved batch record for batch D4006B with 3 incomplete critical steps. Error discovered during post-release annual product review. Batch had been distributed.,QA reviewer working under time pressure at end of shift. Batch record review checklist used was outdated — 3 new mandatory steps added 2 months prior not on old checklist.,Batch recalled from distribution for risk assessment. Retrospective review of incomplete steps — all found to have been performed; documentation gap only. Batch rereleased after QA Director review.,QA batch record review checklist version-controlled in LIMS — old versions automatically retired on system when new version approved. Checklist update triggers mandatory retraining notification.,Zero incomplete batch record releases for 12 months. Monthly QA batch record audit: 100% checklist compliance.,Effective,No,R. Sharma,Engineering Lead,Dr. S. Mehta,QA Director,2019-02-16,2019-04-16,2019-05-31
CAPA-2021-0014,2021-04-30,2021-08-08,100,Morphine Sulfate 10mg/mL Injection,Stability,Medium,Process Deviation,21 CFR Part 211.166,Sterility failure for batch B7570A — Staphylococcus epidermidis detected in 3/16 samples. Batch A7396B (4795 units) quarantined.,Gowning breach identified via CCTV review — operator touched non-sterile surface and continued filling without re-gloving. No supervisor present in fill suite at time of breach.,Batch recalled and destroyed. Filling line decontaminated and re-qualified. Operator suspended pending investigation. Supervisor accountability review initiated.,Continuous CCTV monitoring of fill suite with real-time QA review station. Supervisor presence in fill suite mandatory for first 30 minutes of each fill campaign. Re-gloving stations installed at 3 fill positions.,Zero sterility failures for 18 months. 100% gowning compliance on weekly CCTV audit.,Effective,No,T. Brown,Regulatory Affairs Lead,Dr. S. Mehta,QA Director,2021-05-11,2021-05-19,2021-07-25
CAPA-2020-0015,2020-10-05,2021-01-23,110,Vancomycin 500mg Powder for Infusion,Sterile Fill,High,Environmental Control Failure,21 CFR Part 211.113,Ambient temperature in dispensary A rose to 27.4°C for 4.3 hours due to air conditioning failure. Temperature-sensitive materials for batch B1931C dispensed during exceedance.,"AC unit capacitor failed — no alarm configured for dispensary temperature. Exceedance discovered during routine operator check {round(random.uniform(2,5),1)} hours after onset.",Dispensed materials quarantined and tested for conformance against stability data. AC unit repaired. Materials released after QA review of stability data.,Continuous temperature monitoring with alarm to QA office and engineering installed in all dispensary areas. AC unit added to monthly PM schedule. Backup portable AC unit available for emergency deployment.,Dispensary temperature within 15–25°C for 12 months on continuous monitoring. Zero undetected temperature exceedances.,Effective,No,A. Kumar,QC Manager,Dr. A. Gupta,Site Director,2020-10-28,2020-12-10,2021-01-11
CAPA-2023-0016,2023-02-21,2023-06-06,105,Paracetamol 500mg Tablets,Packaging,Medium,Equipment Failure,21 CFR Part 211.130,Water purification system TBL-309 conductivity exceeded 2.8 µS/cm — WFI specification limit 1.3 µS/cm. Batch C4910B manufacturing in progress at time of exceedance.,Resin bed in deionisation stage exhausted earlier than predicted due to increased daily water demand from new process line.,WFI system taken offline. Resin replaced and system re-validated. Batch quarantined and risk-assessed — manufacturing steps using affected WFI identified.,"WFI conductivity monitored online with automated batch-stop alert. Resin replacement schedule revised based on actual usage, not fixed interval.",WFI conductivity within specification for 12 consecutive months. Zero batches manufactured with out-of-specification WFI.,Effective,No,L. Chen,Validation Lead,Dr. S. Mehta,QA Director,2023-03-17,2023-04-27,2023-06-02
CAPA-2021-0017,2021-05-11,2021-09-20,132,Salbutamol Inhaler 100mcg,QC Laboratory,Low,Process Deviation,ICH Q2(R1),Yield loss of 10.2% recorded for batch C2127A against expected ≥95%. Material reconciliation gap of 4.2kg could not be accounted for in batch record.,"Investigation found material retained in dust extraction ducting — duct had not been cleaned between batches due to production pressure. Material loss attributed to duct retention, not process loss.","Duct inspected, cleaned, and all retained material weighed and documented. Batch yield reconciled. Dust extraction system added to between-batch cleaning procedure immediately.",Dust extraction duct cleaning made mandatory between batches — documented in line clearance checklist. Yield alert threshold set at 97% — QA review triggered automatically below this level.,Yield consistently ≥95% for 12 months. Zero unaccounted material loss events on monthly yield trend review.,Partially Effective,No,J. Patel,QA Manager,Dr. L. Fernandez,QP / Responsible Person,2021-06-06,2021-06-17,2021-09-15
CAPA-2019-0018,2019-01-14,2019-06-10,147,Lisinopril 10mg Tablets,QC Laboratory,Medium,Human Error,21 CFR Part 211.192,Incorrect expiry date printed on 6581 units of product for batch B5462B by operator OP-4450. Error discovered during packing QA line check. Correct date: 2027-06.,Operator manually entered expiry date into label printing system. Transposition error made (month and year swapped). No automated cross-check with batch record.,All mislabelled units isolated and relabelled under dual QA supervision. 100% barcode verification performed on relabelled units. Distribution check confirmed no units released.,Expiry date auto-populated from batch record in printing system — manual entry disabled. Barcode scan of printed label vs batch record mandatory before label application begins.,Zero labelling errors for 12 months. Monthly label audit: 100% of batches verified for correct expiry date.,Effective,No,T. Brown,Regulatory Affairs Lead,Dr. A. Gupta,Site Director,2019-02-08,2019-03-12,2019-06-03
CAPA-2022-0019,2022-02-21,2022-06-12,111,Atorvastatin 20mg Tablets,Warehouse,Medium,Equipment Failure,21 CFR Part 211.142,Water purification system HP-752 conductivity exceeded 3.5 µS/cm — WFI specification limit 1.3 µS/cm. Batch B8239C manufacturing in progress at time of exceedance.,Resin bed in deionisation stage exhausted earlier than predicted due to increased daily water demand from new process line.,WFI system taken offline. Resin replaced and system re-validated. Batch quarantined and risk-assessed — manufacturing steps using affected WFI identified.,"WFI conductivity monitored online with automated batch-stop alert. Resin replacement schedule revised based on actual usage, not fixed interval.",WFI conductivity within specification for 12 consecutive months. Zero batches manufactured with out-of-specification WFI.,Effective,No,S. Mehta,QA Director,Dr. L. Fernandez,QP / Responsible Person,2022-03-16,2022-04-25,2022-06-03
CAPA-2019-0020,2019-12-27,2020-03-15,79,Morphine Sulfate 10mg/mL Injection,Manufacturing,Medium,Equipment Failure,21 CFR Part 211.100,Tablet press BLD-915 punch wear resulted in weight variation OOS during compression of batch A6862A. RSD 5.7% against limit 2%. 8% of tablets outside ±5% weight limit.,Punches worn beyond allowable limit. No intermediate wear measurement performed between batches. Wear only detected at batch failure.,Compression halted. Worn punches replaced. Batch 100% weight-sorted; OOS tablets rejected. Replacement punches qualified before restart.,Punch wear gauge check added to start-up procedure and every 2 hours mid-run. Punch replacement triggered at 80% of maximum wear limit.,Zero punch-wear-related OOS events on this press for 12 months. Punch inspection records reviewed on monthly QA audit.,Partially Effective,No,S. Mehta,QA Director,Dr. S. Mehta,QA Director,2020-01-14,2020-01-20,2020-03-01
CAPA-2023-0021,2023-03-01,2023-07-07,128,Warfarin 5mg Tablets,Stability,High,Software / System Failure,21 CFR Part 211.166,Temperature monitoring software failed to generate alarm for cold room exceedance of 16.4°C. Exceedance lasted 7.0 hours before discovered by operator. Batch B5371A affected.,Alarm suppression feature activated by engineer during sensor replacement — suppression not deactivated after work completed. No confirmation step in alarm management procedure.,Alarm suppression deactivated. Alarm system tested and verified functional. Affected batch quarantined and thermal assessment performed.,Alarm suppression requires dual sign-off (engineer + QA) with mandatory deactivation step on work completion form. Active suppressions visible on alarm dashboard — daily check mandated.,Zero undetected temperature exceedances for 12 months. Daily alarm status check compliance 100%.,Partially Effective,No,T. Brown,Regulatory Affairs Lead,Dr. S. Mehta,QA Director,2023-03-17,2023-04-10,2023-07-01
CAPA-2020-0022,2020-12-23,2021-03-27,94,Vancomycin 500mg Powder for Infusion,Warehouse,Medium,Human Error,21 CFR Part 211.142,Incorrect cleaning agent (Bleach 0.1%) applied to equipment BLD-385 by operator OP-2137 after batch C6753C manufacture. Approved agent is Peracetic Acid 0.2%.,Cleaning agents stored side-by-side in unlabelled containers on cleaning trolley. Operator selected wrong bottle. Cleaning agent inventory not controlled at point of use.,Equipment re-cleaned with correct approved agent. Residue swab tested — passed before next manufacturing use. Incorrect agent containers removed from area immediately.,Cleaning agents dispensed from locked cabinet — key released only after correct agent confirmed on cleaning record. Containers colour-coded per equipment type. Cleaning SOP updated with photo guide.,Zero incorrect cleaning agent events for 12 months. Monthly cleaning audit: 100% correct agent usage verified.,Not Effective,Yes,R. Sharma,Engineering Lead,Dr. A. Gupta,Site Director,2020-12-29,2021-01-09,2021-03-18
CAPA-2022-0023,2022-01-31,2022-06-10,130,Heparin Sodium 5000IU/mL,Dispensary,High,Material / Supplier Defect,21 CFR Part 211.101,Particle size of HPMC lot LOT-77033 from PharmChem Ltd outside specification — D90 309.0µm against NMT 200µm. Discovered during incoming QC. Previous lots all compliant.,Supplier milling equipment calibration had drifted — milling screen replaced without re-qualification of particle size output. Change not notified to pharmaceutical customer.,"Lot rejected. Supplier formally notified. All batches manufactured with this lot quarantined — dissolution testing performed. {random.randint(2,4)} batches showed dissolution impact and were rejected.",Supplier quality agreement updated — any equipment change affecting particle size requires 30-day prior notification and sample submission for qualification testing before shipment.,Zero particle size OOS results from this supplier for 24 months. Annual supplier process capability review for critical quality attributes.,Partially Effective,No,J. Patel,QA Manager,Dr. L. Fernandez,QP / Responsible Person,2022-02-18,2022-02-27,2022-05-28
CAPA-2020-0024,2020-02-25,2020-08-07,164,Lisinopril 10mg Tablets,Manufacturing,Medium,Software / System Failure,21 CFR Part 211.100,Inventory management system showed 55kg more Povidone than physically present — discrepancy discovered during quarterly stocktake for batch A5920C planning.,"System rounding error in unit conversion (kg to g) accumulating over {random.randint(3,12)} months of transactions. Small per-transaction error undetected until stocktake.",Physical count performed. System corrected to match physical stock. Transaction history reviewed — rounding error traced to specific transaction type. Vendor engaged for fix.,Automatic monthly system-to-physical stock reconciliation for critical materials. Variance >1kg triggers immediate investigation. Rounding error fix deployed and validated.,Zero stock discrepancies >1kg for 12 months on monthly reconciliation report.,Effective,No,P. Singh,Production Manager,Dr. L. Fernandez,QP / Responsible Person,2020-03-14,2020-04-30,2020-07-29
